Current_connection,City,Region,Nationality,Gender,Exact_Age,Connection,Segment,Performance,Preference,TRIM_Index,Communication,Proposition,Sales_Experience,Opt_inout,Network_Satisfaction,Customer_Support,Billing_Payment
Mobily,AD DAMMAM,Eastern,Expat Arabs,Male,29,Prepaid,LV,5,5,150,8,8,10,8,8,8,8
Mobily,Other,Others,Expat Asians,Male,48,Prepaid,VLV,4,4,100,8,6,8,,7,7,9
Mobily,JEDDAH,Western,Expat Arabs,Male,50,Prepaid,VLV,5,5,150,10,10,9,10,10,10,10
Mobily,AR RIYADH,Central,Expat Arabs,Male,35,Prepaid,VLV,4,4,100,8,10,9,10,10,8,9
Mobily,JEDDAH,Western,Nationals,Male,38,Postpaid,VLV,5,4,125,6,1,5,5,8,10,10
Mobily,AR RIYADH,Central,Expat Arabs,Male,28,Prepaid,VLV,5,3,100,0,10,10,7,9,10,10
Mobily,AR RIYADH,Central,Expat Arabs,Male,32,Postpaid,VHV,3,4,75,8,9,9,9,7,9,8
Mobily,AR RIYADH,Central,Expat Arabs,Male,45,Postpaid,VHV,4,3,75,1,8,8,7,6,10,10
Mobily,AR RIYADH,Central,Nationals,Male,27,Postpaid,VHV,3,3,50,5,7,6,5,5,6,4
Mobily,JEDDAH,Western,Expat Arabs,Male,31,Postpaid,VLV,2,3,25,10,5,10,10,10,10,10
Mobily,AR RIYADH,Central,Nationals,Male,40,Postpaid,VHV,5,4,125,0,3,3,,5,9,9
Mobily,HAFAR AL BATIN,Eastern,Expat Arabs,Male,23,Prepaid,VLV,4,3,75,10,10,10,10,8,10,10
Mobily,AR RIYADH,Central,Nationals,Male,30,Postpaid,VHV,3,4,75,,,9,10,6,2,10
Mobily,JEDDAH,Western,Nationals,Male,40,Postpaid,VHV,3,1,0,7,7,5,5,5,5,5
Mobily,AL KHUBAR,Eastern,Expat Arabs,Male,40,Postpaid,LV,4,4,100,10,8,9,8,9,9,9
Mobily,AR RIYADH,Central,Expat Asians,Male,37,Prepaid,VLV,5,5,150,10,10,10,10,10,10,10
Mobily,Other,Others,Nationals,Male,35,Prepaid,LV,5,5,150,10,10,10,10,9,10,10
Mobily,Other,Others,Expat Arabs,Male,30,Prepaid,VLV,4,3,75,10,8,10,10,10,10,9
Mobily,AR RIYADH,Central,Nationals,Female,22,Prepaid,VLV,4,3,75,8,7,8,8,8,9,7
Mobily,JEDDAH,Western,Expat Asians,Male,30,Prepaid,VLV,4,3,75,,,10,,10,10,10
Mobily,AR RIYADH,Central,Expat Arabs,Male,35,Postpaid,VHV,4,4,100,5,7,8,8,6,8,8
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Expat Arabs,Male,53,Prepaid,LV,3,3,50,6,7,8,6,7,8,8
Mobily,Other,Others,Expat Arabs,Male,48,Postpaid,HV,3,3,50,7,6,7,7,6,8,7
Mobily,AT TAIF,Western,Nationals,Male,40,Postpaid,VHV,4,4,100,10,10,10,10,8,10,10
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Expat Arabs,Male,27,Prepaid,VLV,3,5,100,10,5,10,8,8,10,10
Mobily,TABUK,Northern,Expat Arabs,Male,28,Prepaid,VLV,5,3,100,10,10,10,10,10,10,10
Mobily,JEDDAH,Western,Nationals,Male,29,Prepaid,VLV,3,3,50,7,9,9,7,5,9,6
Mobily,AR RIYADH,Central,Expat Arabs,Male,32,Postpaid,VLV,5,5,150,10,8,8,10,10,10,10
Mobily,TABUK,Northern,Expat Arabs,Male,32,Prepaid,VLV,4,3,75,9,9,9,8,9,9,9
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,50,Prepaid,VLV,2,2,0,0,10,10,10,5,10,10
Mobily,AT TAIF,Western,Nationals,Male,55,Prepaid,VLV,5,5,150,10,10,10,10,10,10,10
Mobily,Other,Others,Nationals,Male,36,Prepaid,VLV,3,3,50,8,10,6,7,4,5,8
Mobily,AR RIYADH,Central,Nationals,Male,27,Postpaid,VLV,4,4,100,7,10,9,10,10,10,8
Mobily,AL KHUBAR,Eastern,Nationals,Male,22,Postpaid,VLV,3,3,50,6,9,6,10,6,8,8
Mobily,MAKKAH AL MUKARRAMAH,Western,Nationals,Male,28,Postpaid,VLV,5,4,125,10,10,10,10,10,10,10
Mobily,JEDDAH,Western,Expat Arabs,Male,31,Postpaid,VHV,5,4,125,9,9,9,10,10,10,10
Mobily,AR RIYADH,Central,Expat Arabs,Male,27,Prepaid,VHV,5,5,150,10,10,10,10,10,5,5
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,22,Prepaid,VLV,3,4,75,10,10,10,8,8,10,6
Mobily,AT TAIF,Western,Nationals,Male,23,Prepaid,VLV,2,2,0,0,0,0,0,0,3,8
Mobily,JEDDAH,Western,Expat Arabs,Male,27,Postpaid,VLV,5,5,150,5,9,8,10,8,10,7
Mobily,AD DAMMAM,Eastern,Nationals,Male,35,Postpaid,VHV,2,2,0,7,7,9,8,5,8,7
Mobily,AR RIYADH,Central,Nationals,Male,35,Prepaid,VLV,3,2,25,0,0,10,10,0,0,0
Mobily,AR RIYADH,Central,Expat Arabs,Female,27,Postpaid,LV,4,4,100,5,8,10,10,9,10,10
Mobily,AL JUBAIL,Eastern,Nationals,Male,30,Postpaid,VHV,3,3,50,9,10,7,6,7,10,7
Mobily,JIZAN,South,Expat Arabs,Male,32,Postpaid,MV,3,4,75,8,9,7,7,5,6,6
Mobily,JEDDAH,Western,Nationals,Male,26,Prepaid,LV,4,3,75,8,10,10,10,7,10,10
Mobily,AR RIYADH,Central,Expat Asians,Male,28,Prepaid,VLV,3,3,50,7,7,7,7,7,6,7
Mobily,Other,Others,Nationals,Male,42,Postpaid,HV,3,2,25,5,10,10,10,0,10,0
Mobily,TABUK,Northern,Nationals,Male,20,Prepaid,VLV,5,5,150,10,10,10,10,10,10,10
Mobily,AR RIYADH,Central,Nationals,Male,22,Postpaid,VHV,4,5,125,8,7,9,9,8,10,9
Mobily,JIZAN,South,Nationals,Male,30,Prepaid,VLV,4,3,75,8,6,6,8,8,8,8
Mobily,Other,Others,Nationals,Male,45,Prepaid,VLV,5,5,150,10,10,10,10,10,,
Mobily,JEDDAH,Western,Nationals,Male,40,Postpaid,LV,5,5,150,10,10,10,10,10,10,10
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Female,20,Postpaid,LV,5,4,125,10,6,7,10,7,10,7
Mobily,JEDDAH,Western,Nationals,Male,53,Prepaid,MV,5,5,150,10,10,10,10,10,10,10
Mobily,Other,Others,Nationals,Male,16,Postpaid,VLV,5,1,50,9,9,10,10,7,10,10
