Current_connection,City,Region,Nationality,Gender,Exact_Age,Connection,Segment,Performance,Preference,TRIM_Index,Communication,Communication,Proposition,Sales_Experience,Opt_inout,Network_Satisfaction,Customer_Support,Billing_Payment,Website_performance,Mobileapp_satisfaction,Performance_SNS_Promotions
Mobily,JEDDAH,Western,Nationals,Female,23,Prepaid,LV,5,4,125,0,0,1,,1,1,,1,,,
Mobily,JEDDAH,Western,Expat Asians,Male,35,Prepaid,VLV,5,5,150,5,0,0,,0,1,,1,,,
Mobily,MAKKAH AL MUKARRAMAH,Western,Expat Asians,Male,32,Prepaid,VLV,3,3,50,5,0,0,,,0,,1,,,
Mobily,AR RIYADH,Central,Nationals,Male,31,Postpaid,VHV,2,1,-25,5,0,0,,0,0,0,0,0,0,
Mobily,KHAMIS MUSHAYT,South,Expat Arabs,Male,16,Prepaid,HV,5,5,150,10,1,1,,1,1,,1,,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,38,Postpaid,MV,5,4,125,9,1,1,,1,0,,1,,,
Mobily,AR RIYADH,Central,Nationals,Female,29,Postpaid,MV,4,4,100,,,1,,1,1,,0,,,
Mobily,JEDDAH,Western,Expat Arabs,Male,52,Prepaid,LV,4,4,100,8,0,0,,1,1,,1,,1,
Mobily,JEDDAH,Western,Nationals,Male,30,Prepaid,VLV,5,3,100,6,0,1,,0,0,0,1,,1,0
Mobily,AR RIYADH,Central,Nationals,Male,40,Postpaid,VHV,1,2,-25,2,0,0,,0,0,,0,0,,0
Mobily,Other,Others,Nationals,Female,24,Postpaid,VLV,4,3,75,5,0,0,,1,1,,1,0,,
Mobily,AR RIYADH,Central,Nationals,Female,26,Prepaid,VLV,5,5,150,10,1,1,,1,1,,1,1,,1
Mobily,AL MADINAH AL MUNAWWARAH,Northern,Nationals,Male,23,Prepaid,VLV,4,4,100,5,0,0,,0,0,,0,0,,
Mobily,AR RIYADH,Central,Expat Arabs,Male,31,Prepaid,LV,3,2,25,3,0,0,,0,1,,0,0,,
