Months,TRIM,Communication ,Proposition,Sales Experience,Opt in/out & renew,Network,Customer Support,Billing & Payment
Jan'19,85,45.151,49.391,58.760,51.650,49.373,56.720,56.070
Feb'19,86,45.212,49.318,57.340,52.710,49.700,59.621,55.311
Mar'19,86,44.376,48.466,57.830,52.140,50.508,60.862,53.310
April'19,85,44.132,49.230,57.011,50.480,48.870,60.970,52.070
May'19,85,43.400,49.150,55.260,50.729,49.292,62.506,50.820
June'19,85,42.730,50.060,57.331,50.562,48.446,64.711,51.810
July'19,86,43.729,50.730,59.403,50.230,49.372,64.496,52.889
Aug'19,87,44.150,51.479,60.483,51.977,50.370,66.040,53.391
Sep'19,86,45.061,52.483,59.418,51.401,49.478,64.460,52.649
Oct'19,87,46.390,53.471,61.482,50.876,49.456,65.613,52.229
Nov'19,88,46.060,53.311,63.479,52.426,50.380,67.631,53.232
Dec'19,89,46.652,53.976,63.401,53.229,51.462,66.970,54.718
Jan'20,88,45.980,53.140,64.310,54.142,50.801,67.564,53.506
Feb'20,89,46.731,53.969,66.141,54.310,51.382,68.968,54.801
Mar'20,89,47.069,54.140,65.061,54.480,51.464,68.114,56.632
April'20,90,48.490,55.139,66.141,56.310,52.175,68.596,58.211
May'20,90,47.472,55.596,65.061,56.899,51.318,67.904,57.960
June'20,90,47.192,55.650,65.559,56.320,51.136,67.070,57.881
July'20,91,48.484,57.061,64.810,57.229,52.376,66.400,57.380
Aug'20,90,47.439,57.390,65.731,55.570,51.306,67.068,56.210
Sep'20,90,47.422,57.230,67.891,55.319,50.378,67.812,56.289
Oct'20,91,48.420,58.114,68.893,55.409,51.140,67.899,56.710
Nov'20,91,49.160,59.062,68.059,55.318,51.220,67.150,57.288
Dec'20,91,49.580,58.729,68.720,53.988,50.460,68.401,57.709
